timestamp,tag,model,loss,clustering,obs_window,runs,epochs,batch_size,outdir
20251029_151204,models_ablation__parametric_gtcnn_event__focal__clustered__ow1,parametric_gtcnn_event,focal,True,1,1,30,16,experiments/models_ablation__parametric_gtcnn_event__focal__clustered__ow1/20251029_145701
20251029_155857,models_ablation__parametric_gtcnn_event__focal__clustered__ow4,parametric_gtcnn_event,focal,True,4,1,30,16,experiments/models_ablation__parametric_gtcnn_event__focal__clustered__ow4/20251029_151204
20251029_170706,models_ablation__parametric_gtcnn_event__focal__clustered__ow6,parametric_gtcnn_event,focal,True,6,1,30,16,experiments/models_ablation__parametric_gtcnn_event__focal__clustered__ow6/20251029_155857
20251029_213707,losses_ablation__parametric_gtcnn_event__focal__clustered,parametric_gtcnn_event,focal,True,6,1,50,16,experiments/losses_ablation__parametric_gtcnn_event__focal__clustered/20251029_203543
20251029_234745,losses_ablation__parametric_gtcnn_event__dice__clustered,parametric_gtcnn_event,dice,True,6,1,50,16,experiments/losses_ablation__parametric_gtcnn_event__dice__clustered/20251029_215210
20251030_001931,losses_ablation__parametric_gtcnn_event__weighted_bce__clustered,parametric_gtcnn_event,weighted_bce,True,6,1,50,16,experiments/losses_ablation__parametric_gtcnn_event__weighted_bce__clustered/20251029_234745
20251030_021227,losses_ablation__parametric_gtcnn_event__bce__clustered,parametric_gtcnn_event,bce,True,6,1,50,16,experiments/losses_ablation__parametric_gtcnn_event__bce__clustered/20251030_001931
20251030_104257,losses_ablation__parametric_gtcnn_event__weighted_bce__clustered,parametric_gtcnn_event,weighted_bce,True,6,1,50,16,experiments/losses_ablation__parametric_gtcnn_event__weighted_bce__clustered/20251030_084412
20251030_141119,losses_ablation__parametric_gtcnn_event__focal__clustered,parametric_gtcnn_event,focal,True,6,1,50,16,experiments/losses_ablation__parametric_gtcnn_event__focal__clustered/20251030_113706
20251030_145026,models_ablation__vanilla_gcnn__dice__fullbatch,vanilla_gcnn,dice,,4,1,50,16,experiments/models_ablation__vanilla_gcnn__dice__fullbatch/20251030_142213
20251030_145051,models_ablation__simple_gc__dice__fullbatch,simple_gc,dice,,6,1,50,16,experiments/models_ablation__simple_gc__dice__fullbatch/20251030_145026
20251030_145404,models_ablation__simple_gc__dice__fullbatch,simple_gc,dice,,4,1,50,16,experiments/models_ablation__simple_gc__dice__fullbatch/20251030_145345
20251030_160536,original_data__parametric_gtcnn_event__dice__clustered,parametric_gtcnn_event,dice,True,6,1,50,16,experiments/original_data__parametric_gtcnn_event__dice__clustered/20251030_150316
20251030_164314,tuning_obs_window_ow1__parametric_gtcnn_event__focal__clustered,parametric_gtcnn_event,focal,True,1,1,30,16,experiments/tuning_obs_window_ow1__parametric_gtcnn_event__focal__clustered/20251030_161936
20251030_175218,tuning_obs_window_ow4__parametric_gtcnn_event__focal__clustered,parametric_gtcnn_event,focal,True,4,1,30,16,experiments/tuning_obs_window_ow4__parametric_gtcnn_event__focal__clustered/20251030_164314
